gene,log2FC_tumor_vs_normal,pvalue,FDR
TSPAN6,0.4182482304744135,0.04733512103847017,0.11665742031038302
TNMD,0.48857903618949644,0.015290906551794839,0.05496631011947284
DPM1,-0.4247679012243255,0.1440738872866293,0.25661973257198284
SCYL3,-0.4694505172919414,0.0020239826893861763,0.012905721023019087
C1orf112,-0.30743436880987707,0.1048080921215422,0.20357879106120016
FGR,-0.12022439641487415,0.6629459351342871,0.7618874316290544
CFH,0.9254458056494914,0.0012204475114952161,0.00891947421310213
FUCA2,-0.5188863402356731,0.03745521843797489,0.09948419541305471
GCLC,0.1933461885722032,0.32960702558481614,0.46444619061852216
NFYA,-0.5355202503874197,0.08058775266749116,0.1686876775848528
STPG1,0.2120704570396823,0.2618820925218063,0.3959457079292306
NIPAL3,-0.20341832333237253,0.38481143895914316,0.5191609250319433
LAS1L,-0.05776706605478177,0.783334483002773,0.8537666181881632
ENPP4,0.17098282376204987,0.30341083263275886,0.4397772186826185
SEMA3F,-0.1331049825850661,0.6487072058518741,0.7506314366521369
CFTR,-0.04355039070169142,0.8907649785152841,0.9294255289274312
ANKIB1,-0.27818906499444696,0.3824094810491907,0.5168328635292881
CYP51A1,0.15388476242312876,0.4631825382643593,0.5934139288384944
KRIT1,-0.2469017895219947,0.2931110502001201,0.4288517341137922
RAD52,-0.12366011702684832,0.646430616904446,0.7486868287065958
BAD,-0.8542957886125331,0.02037740161327533,0.06624656327229372
LAP3,-0.5081312779799783,0.09637405626781682,0.19134517329237724
CD99,0.03361367103804458,0.9202749871880006,0.9502107119516338
HS3ST1,-0.36434471438410254,0.16169394882544535,0.2788266824104505
AOC1,-0.03553982115864196,0.8483266581442512,0.9008596203837663
WNT16,1.043585325832103,0.0001287862677369786,0.0017051030362172568
HECW1,0.5315155800694951,0.08975083483184856,0.1818175867806161
MAD1L1,-0.1969290130276704,0.29407016847139456,0.42967809857783257
LASP1,-0.5092153843310099,0.01314167528854834,0.049777872210562485
SNX11,-0.41812318033251294,0.09292738917649121,0.18633430674861867
TMEM176A,-0.292133781131521,0.28320798430949745,0.41886680684467803
M6PR,-0.5046947122156249,0.12056929985219705,0.22513928055635027
KLHL13,1.1087569665667139,1.9863799631420526e-05,0.0004049547919090218
CYP26B1,0.041456731878751985,0.8878332866072134,0.9270403883121245
ICA1,-0.10775086146625057,0.7269055801647928,0.8114143735040279
DBNDD1,-1.9103090253207284,5.778776046309871e-10,8.93398776759506e-08
ALS2,0.3775732722930534,0.05605904942593126,0.1305826661990177
CASP10,-0.060058287515448505,0.7914866973602055,0.8596188650671005
CFLAR,0.14591598579965837,0.32030245502532345,0.45711790466886
TFPI,1.369719312854313,2.1307756038654549e-07,1.0470495864666971e-05
NDUFAF7,-0.26174494557144357,0.08199627129017964,0.17079338166180183
RBM5,0.5105971077392439,0.006789671064754628,0.031341021832668466
MTMR7,0.25930717910836343,0.1638271906089734,0.2811783840187146
SLC7A2,2.0111860041077643,1.051949068413962e-09,1.4580739570333662e-07
ARF5,-1.0400778555818162,0.0018450671432568542,0.012071015444393313
SARM1,-0.04786475329226558,0.8728003724982984,0.9171088977085168
POLDIP2,-0.5512969584189249,0.05778654161451159,0.13348242408588024
PLXND1,-0.3924940809414075,0.04313283651121679,0.10996377284933935
AK2,-0.36456210741978445,0.1931064586559873,0.3166914407236257
CD38,-0.5180302815661433,0.05945043184399122,0.13605735275242392
FKBP4,-1.0619566603031467,0.0006354358551546605,0.005530961375876295
KDM1A,-0.20397606703697324,0.438997887076501,0.5705182461622166
RBM6,0.7276949454988442,6.473832509338607e-05,0.0010172876135472032
CAMKK1,0.21598092939633462,0.3600937251182702,0.49447688490209035
RECQL,-0.3614929207742863,0.06634834403855062,0.1469873256709425
CCDC132,0.2150467564310219,0.25477045169418433,0.38827725384779527
HSPB6,2.2821802350481715,7.171716170066379e-07,2.935583535356295e-05
ARHGAP33,-0.727868726770553,0.009102885552676274,0.038580773708835336
NDUFAB1,-0.8173181391191289,0.009973769146719587,0.04112696190208663
PDK4,1.5844949136394049,0.00018086549703453603,0.002210963199435088
SLC22A16,0.4868916182601357,0.07544810771236718,0.16119381581791248
ZMYND10,0.01515938455935828,0.9411124026094885,0.9643355290937851
ABCB5,0.40419892573330696,0.0607359711447956,0.13813189408940837
ARX,0.13372717418814437,0.345699654156436,0.48015925924257397
