source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0048513,animal organ development,1.4279020349228048e-39,True,"""Development of a tissue or tissues that work together to perform a specific function or functions. Development pertains to the process whose specific outcome is the progression of a structure over time, from its formation to the mature structure. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:dph, GOC:jid]",3085,731,253,21026,0.34610123119015046,0.0820097244732577,query_1,['GO:0048856']
GO:BP,GO:0048856,anatomical structure development,7.425975145515514e-37,True,"""The biological process whose specific outcome is the progression of an anatomical structure from an initial condition to its mature state. This process begins with the formation of the structure and ends with the mature structure, whatever form that may be including its natural destruction. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GO_REF:0000021]",5997,731,376,21026,0.5143638850889193,0.06269801567450392,query_1,['GO:0032502']
GO:BP,GO:0032501,multicellular organismal process,6.060318615101726e-35,True,"""Any biological process, occurring at the level of a multicellular organism, pertinent to its function."" [GOC:curators, GOC:dph, GOC:isa_complete, GOC:tb]",7322,731,423,21026,0.5786593707250342,0.057771100792133295,query_1,['GO:0008150']
GO:BP,GO:0032502,developmental process,2.0581328045721842e-33,True,"""A biological process whose specific outcome is the progression of an integrated living unit: an anatomical structure (which may be a subcellular structure, cell, tissue, or organ), or organism over time from an initial condition to a later condition."" [GOC:isa_complete]",6553,731,390,21026,0.533515731874145,0.05951472607965817,query_1,['GO:0008150']
GO:BP,GO:0048731,system development,1.48954174011484e-29,True,"""The process whose specific outcome is the progression of an organismal system over time, from its formation to the mature structure. A system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a given biological process."" [GOC:dph, GOC:jid]",4053,731,277,21026,0.3789329685362517,0.06834443622008389,query_1,"['GO:0007275', 'GO:0048856']"
GO:BP,GO:0009653,anatomical structure morphogenesis,2.043906613639726e-29,True,"""The process in which anatomical structures are generated and organized. Morphogenesis pertains to the creation of form."" [GOC:go_curators, ISBN:0521436125]",2713,731,214,21026,0.292749658002736,0.07887946922226317,query_1,"['GO:0032502', 'GO:0048856']"
GO:BP,GO:0009888,tissue development,2.083642750843586e-29,True,"""The process whose specific outcome is the progression of a tissue over time, from its formation to the mature structure."" [ISBN:0471245208]",2032,731,179,21026,0.2448700410396717,0.08809055118110236,query_1,['GO:0048856']
GO:BP,GO:0007275,multicellular organism development,2.278624375984625e-27,True,"""The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:dph, GOC:ems, GOC:isa_complete, GOC:tb]",4727,731,301,21026,0.4117647058823529,0.06367675058176434,query_1,"['GO:0032501', 'GO:0048856']"
GO:BP,GO:0051239,regulation of multicellular organismal process,7.166200446300224e-26,True,"""Any process that modulates the frequency, rate or extent of a multicellular organismal process, the processes pertinent to the function of a multicellular organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai, GOC:dph, GOC:tb]",2956,731,218,21026,0.2982216142270862,0.07374830852503383,query_1,"['GO:0032501', 'GO:0050789']"
GO:BP,GO:0030154,cell differentiation,4.371144853903526e-22,True,"""The cellular developmental process in which a relatively unspecialized cell, e.g. embryonic or regenerative cell, acquires specialized structural and/or functional features that characterize a specific cell. Differentiation includes the processes involved in commitment of a cell to a specific fate and its subsequent development to the mature state."" [ISBN:0198506732]",4437,731,275,21026,0.3761969904240766,0.06197881451431147,query_1,['GO:0048869']
GO:BP,GO:0048869,cellular developmental process,4.532805237072977e-22,True,"""A biological process whose specific outcome is the progression of a cell over time from an initial condition to a later condition."" [GOC:isa_complete]",4438,731,275,21026,0.3761969904240766,0.06196484903109509,query_1,"['GO:0009987', 'GO:0032502']"
GO:BP,GO:0072359,circulatory system development,2.0924807806141776e-21,True,"""The process whose specific outcome is the progression of the circulatory system over time, from its formation to the mature structure. The circulatory system is the organ system that passes nutrients (such as amino acids and electrolytes), gases, hormones, blood cells, etc. to and from cells in the body to help fight diseases and help stabilize body temperature and pH to maintain homeostasis."" [GOC:mah, UBERON:0001009]",1145,731,114,21026,0.15595075239398085,0.09956331877729258,query_1,['GO:0048731']
GO:BP,GO:0065008,regulation of biological quality,5.246859039350447e-21,True,"""Any process that modulates a qualitative or quantitative trait of a biological quality. A biological quality is a measurable attribute of an organism or part of an organism, such as size, mass, shape, color, etc."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]",2947,731,206,21026,0.2818057455540356,0.06990159484221242,query_1,['GO:0065007']
GO:BP,GO:0009719,response to endogenous stimulus,4.088215871808365e-20,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus arising within the organism."" [GOC:sm]",1489,731,131,21026,0.17920656634746923,0.08797850906648758,query_1,['GO:0050896']
GO:BP,GO:0040011,locomotion,3.9856581429011555e-19,True,"""Self-propelled movement of a cell or organism from one location to another."" [GOC:dgh]",1255,731,116,21026,0.15868673050615595,0.09243027888446215,query_1,['GO:0008150']
